Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.9280      -33126.9596  -33127.1779       0.2183    52.8
1.9300      -33126.9599  -33127.1760       0.2161    52.2
1.9320      -33126.9599  -33127.1740       0.2141    51.8
1.9340      -33126.9597  -33127.1720       0.2123    51.3
1.9360      -33126.9597  -33127.1702       0.2106    50.9
1.9380      -33126.9596  -33127.1687       0.2091    50.5
1.9400      -33126.9594  -33127.1669       0.2075    50.2
1.9420      -33126.9596  -33127.1645       0.2049    49.5
1.9440      -33126.9596  -33127.1616       0.2020    48.8
1.9460      -33126.9595  -33127.1590       0.1995    48.2
1.9480      -33126.9594  -33127.1569       0.1975    47.7
1.9500      -33126.9595  -33127.1550       0.1954    47.2
1.9520      -33126.9595  -33127.1527       0.1932    46.7
1.9540      -33126.9594  -33127.1497       0.1903    46.0
1.9560      -33126.9594  -33127.1461       0.1867    45.1
1.9580      -33126.9594  -33127.1423       0.1829    44.2
1.9600      -33126.9593  -33127.1389       0.1795    43.4
1.9620      -33126.9594  -33127.1361       0.1767    42.7
1.9640      -33126.9594  -33127.1338       0.1744    42.2
1.9660      -33126.9595  -33127.1311       0.1716    41.5
1.9680      -33126.9594  -33127.1279       0.1685    40.7
1.9700      -33126.9593  -33127.1247       0.1654    40.0
1.9720      -33126.9594  -33127.1222       0.1629    39.4
1.9740      -33126.9594  -33127.1205       0.1612    39.0
1.9760      -33126.9594  -33127.1190       0.1596    38.6
1.9780      -33126.9594  -33127.1171       0.1577    38.1
1.9800      -33126.9593  -33127.1153       0.1560    37.7
1.9820      -33126.9593  -33127.1136       0.1543    37.3
1.9840      -33126.9592  -33127.1115       0.1523    36.8
1.9860      -33126.9593  -33127.1088       0.1495    36.1
1.9880      -33126.9592  -33127.1060       0.1468    35.5
1.9900      -33126.9593  -33127.1034       0.1442    34.9
1.9920      -33126.9592  -33127.1010       0.1418    34.3
1.9940      -33126.9588  -33127.0979       0.1390    33.6
1.9960      -33126.9588  -33127.0944       0.1355    32.8
1.9980      -33126.9589  -33127.0916       0.1327    32.1
2.0000      -33126.9590  -33127.0902       0.1312    31.7
